"STATION","DATE","ADPT","ASLP","ASTP","AWBT","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYNT","DYSD","DYSN","DYTS","DYXP","DYXT","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","PSUN","RHAV","RHMN","RHMX","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDFM","WSF2","WSF5","WSFG","WSFM"
"USW00093134","1936-01",,,,,,"5","5","5","2","0","0","0","0","0","0","13","0",,,"19360125","19360131","19360131",,"19360129","19360126","44","0","0.0","0.28","79","526","179","0.51",,,,,"0.0","59.4","67.7","51.0",,,,,,,,,
"USW00093134","1936-02",,,,,,"9","4","12","10","3","0","0","0","0","0","4","0",,,"19360207","19360229","19360229",,"19360212","19360229","43","0","0.0","1.30","83","776","250","7.25",,,,,"0.0","56.5","63.6","49.4",,,,,,,,,
"USW00093134","1936-03",,,,,,"25","16","2","2","1","0","0","0","0","0","8","0",,,"19360325","19360331","19360331",,"19360330","19360302","42","0","0.0","1.05","85","978","202","1.34",,,,,"0.0","59.0","67.4","50.7",,,,,,,,,
"USW00093134","1936-04",,,,,,"35","10","3","3","0","0","0","0","0","0","9","1",,,"19360401","19360430","19360430",,"19360404","19360411","46","0","0.0","0.54","90","1118","140","0.95",,,,,"0.0","60.7","69.2","52.1",,,,,,,,,
"USW00093134","1936-05",,,,,,"83","47","0","0","0","0","0","0","0","0","25","0",,,"19360530","19360531","19360531",,"19360531","19360509","53","0","0.0","0.00","83","1146","28","0.00",,,,,"0.0","65.6","73.9","57.3",,,,,,,,,
"USW00093134","1936-06",,,,,,"211","128","3","1","0","0","0","0","0","0","28","1",,,"19360604","19360630","19360630",,"19360607","19360626","53","0","0.0","0.10","90","1158","11","0.20",,,,,"0.0","68.9","77.9","60.0",,,,,,,,,
"USW00093134","1936-07",,,,,,"493","282","1","0","0","0","0","0","0","0","31","6",,,"19360711","19360731","19360731",,"19360725","19360718","61","0","0.0","0.01","97","0","0","0.01",,,,,"0.0","74.1","83.0","65.2",,,,,,,,,
"USW00093134","1936-08",,,,,,"754","261","1","0","0","0","0","0","0","0","31","1",,,"19360821","19360831","19360831",,"19360808","19360808","60","0","0.0","0.02","93","0","0","0.02",,,,,"0.0","73.4","82.7","64.1",,,,,,,,,
"USW00093134","1936-09",,,,,,"919","165","1","0","0","0","0","0","0","0","30","0",,,"19360914","19360930","19360930",,"19360903","19360929","58","0","0.0","0.03","88","0","0","0.03",,,,,"0.0","70.5","79.6","61.4",,,,,,,,,
"USW00093134","1936-10",,,,,,"1019","101","5","5","0","0","0","0","0","0","22","3",,,"19361031","19361031","19361031",,"19361031","19361008","55","0","0.0","0.38","96","26","26","1.25",,,,,"0.0","67.4","76.4","58.4",,,,,,,,,
"USW00093134","1936-11",,,,,,"1138","119","1","0","0","0","0","0","0","0","25","1",,,"19361103","19361130","19361130",,"19361122","19361115","49","0","0.0","0.05","90","63","37","0.05",,,,,"0.0","67.7","78.4","57.1",,,,,,,,,
